joint1,joint2,joint3,joint4,joint5,joint6,joint7
2.382210,4.029770,0.823807,3.856247,9.410278,5.114136,7.649315
2.382210,4.029770,0.823807,3.856247,9.410278,5.114136,7.649315
2.381866,4.029602,0.823978,3.856247,9.415771,5.114136,7.649315
2.381866,4.029602,0.823978,3.856247,9.415771,5.114136,7.650002
2.381866,4.029602,0.823978,3.856247,9.415771,5.114136,7.650002
2.383240,4.030289,0.823463,3.856247,9.410278,5.114136,7.650002
2.383240,4.030289,0.823463,3.856247,9.410278,5.114136,7.649315
2.383240,4.030289,0.823463,3.856247,9.410278,5.114136,7.649315
2.381523,4.029938,0.823463,3.856247,9.415771,5.114136,7.649315
2.381523,4.029938,0.823463,3.856247,9.415771,5.114136,7.650520
2.381523,4.029938,0.823463,3.856247,9.415771,5.114136,7.650520
2.382210,4.030289,0.823978,3.861740,9.415771,5.114136,7.650520
2.382210,4.030289,0.823978,3.861740,9.415771,5.114136,7.650002
2.382210,4.030289,0.823978,3.861740,9.415771,5.114136,7.650002
2.382378,4.028740,0.823978,3.856247,9.410278,5.114136,7.650002
2.382378,4.028740,0.823978,3.856247,9.410278,5.114136,7.649834
2.382378,4.028740,0.823978,3.856247,9.410278,5.114136,7.649834
2.382553,4.029770,0.823978,3.856247,9.410278,5.114136,7.649834
2.382553,4.029770,0.823978,3.856247,9.410278,5.114136,7.650002
2.382553,4.029770,0.823978,3.856247,9.410278,5.114136,7.650002
2.382553,4.028915,0.823463,3.856247,9.415771,5.114136,7.650002
2.382553,4.028915,0.823463,3.856247,9.415771,5.114136,7.650177
2.382553,4.028915,0.823463,3.856247,9.410278,5.114136,7.650177
2.382553,4.029427,0.822948,3.856247,9.410278,5.114136,7.649490
2.382553,4.029427,0.822948,3.856247,9.410278,5.114136,7.649490
2.382553,4.029427,0.822948,3.856247,9.410278,5.114136,7.649490
2.382210,4.029427,0.822777,3.856247,9.410278,5.114136,7.649490
2.382210,4.029427,0.822777,3.861740,9.410278,5.114136,7.649490
2.382210,4.029427,0.822777,3.861740,9.410278,5.114136,7.649490
2.382042,4.029427,0.823120,3.856247,9.415771,5.114136,7.649490
2.382042,4.029427,0.823120,3.856247,9.415771,5.114136,7.649490
2.382042,4.029427,0.823120,3.856247,9.415771,5.114136,7.649490
